Name,Total Cores,Rmax,Rpeak
A1,47040,1882.56,3612.67
A10A,69120,2348.44,4644.86
A11A,69120,2348.44,4644.86
A12A,69120,2348.44,4644.86
A13A,61440,2087.50,4128.77
A13A,61440,2087.50,4128.77
A14A,84480,2870.31,5677.06
A14A,78336,2661.56,5264.18
A14A,61440,2087.50,4128.77
A15A,61440,2087.50,4128.77
A16A,61440,2087.50,4128.77
A17A,69120,2348.44,4644.86
A17A,69120,2348.44,4644.86
A1A,92160,3131.25,6193.15
A1A,92160,3131.25,6193.15
A1B,76800,2609.38,5160.96
A1C,92160,3131.25,6193.15
A2A,53760,1826.56,3612.67
A3A,84480,2870.31,5677.06
A4A,69120,2348.44,4644.86
A5A,92160,3131.25,6193.15
A64FX prototype,36864,1999.50,2359.30
A6A,86016,2922.50,5780.28
A7A,76800,2609.38,5160.96
A7A,76800,2609.38,5160.96
A8A,84480,2870.31,5677.06
A8A,84480,2870.31,5677.06
A9A,86016,2922.50,5780.28
ABCI 2.0,504000,22208.72,54340.99
Abel,145920,4042.46,5369.86
Adastra,319072,46100.00,61607.94
Advanced Computing System(PreE),163840,4325.00,6134.17
AFI-NITY,35200,1691.00,2703.36
Agate,31744,1884.00,3551.31
AiMOS,130000,8339.00,11032.03
Aitken,293936,9070.00,12493.06
Alex,31744,2938.00,4992.00
alpha ONE,57344,7625.00,7864.83
AlphaCentauri,31008,2592.00,5364.06
Alps,128000,3088.60,4608.00
Altair,63360,3533.61,5879.81
Alvis,41664,1937.40,3603.26
Amazon EC2 Instance Cluster us-east-1a,172692,9950.26,15106.52
Anvil,127488,3563.10,4997.53
ARCHER2,716800,19539.00,25804.00
Ares,37824,2338.79,3510.07
Artemis,107568,7257.00,9492.16
ASPIRE 2A (CPU Partition),98304,2578.58,3108.86
ASPIRE 2A (GPU Partition),31744,2861.00,5123.07
Astra,143640,1833.00,2298.24
ATERUI II ,40000,2089.98,3072.00
Athena,47616,5051.00,7709.18
Atlas,91936,4376.00,8848.49
ATOS THX.A.B,25056,3505.00,5003.77
B1,60000,2462.40,4800.00
B1A,80640,3545.65,6967.30
B1B,69120,2348.44,4644.86
B2A,53760,2363.77,4644.86
B2B,53760,2363.77,4644.86
B2C,53760,2363.77,4644.86
B2D,53760,2363.77,4644.86
B2E,53760,2363.77,4644.86
B2F,53760,2363.77,4644.86
B3A,44800,1969.81,3870.72
B4A,49280,2166.79,4257.79
B5A,71680,3151.69,6193.15
Bank P A2,36000,1809.34,3021.60
Bank P A2,36000,1809.34,3021.60
Banting,53200,2676.74,4085.76
Belenos,294912,7683.36,10469.38
Béluga,72480,2278.00,7494.78
Berzelius,59520,5253.00,9636.48
Beskow,67456,1802.51,2438.14
Betty,94976,2133.00,4406.89
Betzy,172032,4724.79,6193.15
Big Red 200,84480,2431.20,3041.28
"Big Red 200, GPU Partition",31744,3194.00,4006.14
BioHive-1,39680,4902.00,5709.44
Biowulf,66304,1966.08,2491.37
bsystem,60800,1976.00,4085.76
bsystem,55040,1838.00,3698.69
C1,59200,2433.83,4736.00
Cactus,327680,10013.00,11796.48
Camphor 2,122400,3057.35,5483.52
Cannon,32160,2076.89,2984.45
CARA,145920,1746.00,2568.19
CARO,174592,3458.30,5586.94
cascade,194616,2539.13,3388.03
CEA-HF,810240,23237.60,31761.40
CEA-HFi,73728,2262.00,2890.14
Cedar (CPU),67584,2607.98,4895.54
Cedar (GPU),67584,3371.00,5834.40
Centennial,73920,2443.70,2601.98
Champollion,19840,2022.00,2522.27
Chervonenkis,193440,21530.00,29415.17
Cheyenne,144900,4788.19,5332.32
Christofari,99600,6669.00,8789.76
Christofari Neo,98208,11950.00,14908.61
CLAIX (2018),61200,2483.58,4112.64
COBRA,127520,5612.83,9793.54
Cori,622336,14014.70,27880.65
CRONOS,81600,4299.33,7136.87
CSystem,97920,1736.00,7206.91
CTcluster,54000,1928.00,3974.40
Cumulus,50176,2271.38,2688.00
D1,58800,2421.62,4704.00
Daley,53200,2598.28,4085.76
Dammam-7,672520,22400.00,55423.56
Damson,113832,3243.41,3791.58
Dardel,69632,2279.40,2506.75
davinci-1,38400,3449.00,6412.03
DGX Saturn V,87040,3998.00,7414.78
DGX SuperPOD,127488,9444.00,11209.11
"DiRAC, Tursa",55552,5228.00,8580.00
Discoverer,144384,4518.87,5942.00
Dogwood,327680,10013.00,11796.48
Dragão,188224,8983.00,14006.48
E1,58000,2392.38,4640.00
Eagle,75600,4850.66,7257.60
Earth Simulator -SX-Aurora TSUBASA,43776,9990.70,13447.99
Electra,124416,5444.64,8316.52
Emmy+,120296,5948.80,8911.26
Endeavor,31524,1653.92,2467.70
ESSystem,105000,1790.00,3696.00
Excalibur,100064,2485.00,3682.36
Expanse,91648,2480.60,3299.33
F1,56000,2317.95,4480.00
Fênix,60480,3161.00,5371.78
Flow,110592,6617.80,7785.68
Flow Type II subsystem,79560,4880.46,7519.30
Freeman,79104,2829.00,3670.43
Fritz,67968,2233.04,3384.12
Frontera,448448,23516.40,38745.91
Frontier,8730112,1102000.00,1685651.46
Frontier TDS,120832,19200.00,23105.54
G1,54000,2242.94,4320.00
Gadi,204032,9264.31,15142.20
Gaffney,34560,2001.99,2985.98
Gaïa,41472,1980.53,3052.34
Galushkin,134912,16020.00,20636.10
Ghawar-1,714240,19256.00,22855.68
Grace,43200,2638.53,4829.34
Grace-GPU,26400,2063.00,3900.00
Grand Chariot,39760,2000.00,3053.57
Greene,32796,2088.83,3042.43
Guru,306432,18002.80,25495.14
H1,52000,2166.52,4160.00
Hawk,698880,19334.00,25159.68
Hera,63840,3080.85,4884.48
HHH1,80640,2975.29,6451.20
HiPerGator AI,138880,17200.00,21314.72
HKVDPSystem,121920,1979.00,4096.51
HKVDPSystem,121920,1979.00,4096.51
HoreKa-Blue,45752,2333.51,3513.75
HoreKa-Green,90932,8025.60,15006.79
HPC2,72000,3188.00,4605.00
HPC3,66000,2592.00,3798.60
HPC4,253600,12210.00,18621.14
HPC5,669760,35450.00,51720.76
