Team,Wins,First final won,Last final won,Runners-up,Last final lost,Total final appearances
Antrim,0,–,–,2,1912,2
Armagh,1,2002,2002,3,2003,4
Cavan,5,1933,1952,6,1949,11
Clare,0,–,–,1,1917,1
Cork,7,1890,2010,16,2009,23
Derry,1,1993,1993,1,1958,2
Donegal,2,1992,2012,1,2014,3
Down,5,1960,1994,1,2010,6
Dublin,30,1891,2020,13,1994,43
Galway,9,1925,2001,14,2022,23
Kerry,38,1903,2022,23,2019,61
Kildare,4,1905,1928,5,1998,9
Laois,0,–,–,2,1936,2
Limerick,2,1887,1896,0,–,2
London,0,–,–,5,1908,5
Louth,3,1910,1957,3,1950,6
Mayo,3,1936,1951,15,2021,18
Meath,7,1949,1999,9,2001,16
Monaghan,0,–,–,1,1930,1
Offaly,3,1971,1982,3,1981,6
Roscommon,2,1943,1944,3,1980,5
Tipperary,4,1889,1920,1,1918,5
Tyrone,4,2003,2021,3,2018,7
Waterford,0,–,–,1,1898,1
Wexford,5,1893,1918,3,1914,8
